Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2009,1276.0,Krung Thai Bank,Banking,Thailand,2200.0,360,38250.0,1280.0,
2010,1153.0,Krung Thai Bank,Banking,Thailand,2110.0,360,46310.0,3380.0,
2011,994.0,Krung Thai Bank,Banking,Thailand,2576.0,505.8,58474.0,6204.0,
2012,,Krung Thai Bank,Banking,Thailand,3270.0,539.0,62282.0,6695.0,974.0
2013,,Krung Thai Bank,Banking,Thailand,4094.0,768.9,73676.0,12424.0,735.0
2014,,Krung Thai Bank,Banking,Thailand,4545.0,1103.8,76530.0,8123.0,799.0
2015,,Krung Thai Bank,Banking,Thailand,4449.0,1021.8,83362.0,10001.0,795.0
2016,,Krung Thai Bank,Banking,Thailand,4856.0,802.8,81020.0,6940.0,846.0
2017,,Krung Thai Bank,Banking,Thailand,4760.0,915.0,75102.0,16966.0,672.0
2018,,Krung Thai Bank,Banking,Thailand,4818.0,625.9,92341.0,7638.0,1078.0
2019,,Krung Thai Bank,Banking,Thailand,4891.0,881.0,84278.0,8478.0,972.0
2020,,Krung Thai Bank,Banking,Thailand,5195.0,906.3,96288.0,4753.0,1046.0
2021,,Krung Thai Bank,Banking,Thailand,4852.0,534.6,111264.0,5105.0,1161
2022,1320,Krung Thai Bank,Banking,Thailand,4435.0,758.3,107713.0,5890.0,
