Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,411.0,LG Corp,Conglomerates,South Korea,70890.0,500,53790.0,12240.0,
2009,308.0,LG Corp,Conglomerates,South Korea,80870.0,980,57490.0,4590.0,
2010,298.0,LG Corp,Conglomerates,South Korea,72360.0,730,50920.0,9070.0,
2011,669.0,LG Corp,Conglomerates,South Korea,8204.0,1324.4,11746.0,11172.0,
2012,,LG Corp,Consumer Durables,South Korea,9088.0,930.5,12834.0,10584.0,747.0
2013,,LG Corp,Consumer Durables,South Korea,8729.0,826.7,15086.0,10204.0,781.0
2014,,LG Corp,Consumer Durables,South Korea,8984.0,819.1,15682.0,9465.0,833.0
2015,,LG Corp,Consumer Durables,South Korea,8827.0,803.0,15769.0,9516.0,892.0
2016,,LG Corp,Consumer Durables,South Korea,8171.0,834.2,15456.0,10763.0,825.0
2017,,LG Corp,Consumer Durables,South Korea,8550.0,926.4,16136.0,10737.0,833.0
2018,,LG Corp,Consumer Durables,South Korea,9111.0,2119.3,20221.0,13331.0,748.0
