Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,597.0,Land Securities Group,Diversified Financials,United Kingdom,3230.0,6950,37290.0,14610.0,
2009,1270.0,Land Securities Group,Diversified Financials,United Kingdom,3100.0,-1650,33020.0,3690.0,
2010,1445.0,Land Securities Group,Diversified Financials,United Kingdom,1170.0,-7380,16010.0,7250.0,
2011,908.0,Land Securities Group,Real Estate,United Kingdom,1265.0,1652.3,14749.0,9186.0,
2012,,Land Securities Group,Real Estate,United Kingdom,1125.0,1989.7,17105.0,9105.0,887.0
2013,,Land Securities Group,Real Estate,United Kingdom,1076.0,838.0,17287.0,9774.0,999.0
2014,,Land Securities Group,Real Estate,United Kingdom,1218.0,1247.7,19479.0,13407.0,887.0
2015,,Land Securities Group,Real Estate,United Kingdom,1231.0,2898.0,22535.0,14874.0,790.0
2016,,Land Securities Group,Real Estate,United Kingdom,1272.0,3233.3,23179.0,12238.0,802.0
2017,,Land Securities Group,Real Estate,United Kingdom,1397.0,758.0,19253.0,10769.0,1100.0
2018,,Land Securities Group,Real Estate,United Kingdom,1047.0,221.4,19944.0,9825.0,1822.0
2019,,Land Securities Group,Diversified Financials,United Kingdom,1121.0,-234.0,18675.0,8774.0,1949.0
