Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1213.0,Las Vegas Sands,"Hotels, Restaurants & Leisure",United States,2950.0,120,11470.0,29600.0,
2009,1658.0,Las Vegas Sands,"Hotels, Restaurants & Leisure",United States,4390.0,-160,17140.0,1490.0,
2010,1024.0,Las Vegas Sands,"Hotels, Restaurants & Leisure",United States,4560.0,-350,20570.0,11280.0,
2011,582.0,Las Vegas Sands,Casinos & Gaming,United States,6853.0,599.4,21044.0,29102.0,
2012,,Las Vegas Sands,Casinos & Gaming,United States,9411.0,1560.1,22244.0,41548.0,427.0
2013,,Las Vegas Sands,Casinos & Gaming,United States,11131.0,1524.1,22164.0,44129.0,422.0
2014,,Las Vegas Sands,Casinos & Gaming,United States,13770.0,2306.0,22724.0,67240.0,357.0
2015,,Las Vegas Sands,Casinos & Gaming,United States,14584.0,2840.6,22362.0,45395.0,363.0
2016,,Las Vegas Sands,Casinos & Gaming,United States,11393.0,1774.5,20987.0,37247.0,432.0
2017,,Las Vegas Sands,Casinos & Gaming,United States,11410.0,1670.0,20469.0,44623.0,451.0
2018,,Las Vegas Sands,Casinos & Gaming,United States,13355.0,3782.0,21504.0,61667.0,418.0
2019,,Las Vegas Sands,"Hotels, Restaurants & Leisure",United States,13796.0,1539.0,22547.0,52721.0,491.0
2020,,Las Vegas Sands,"Hotels, Restaurants & Leisure",United States,11875.0,2115.0,21167.0,36674.0,500.0
2021,,Las Vegas Sands,"Hotels, Restaurants & Leisure",United States,3612.0,-1685.0,20807.0,46596.0,1335
2022,1529,Las Vegas Sands,"Hotels, Restaurants & Leisure",United States,4234.0,-961.0,20059.0,27809.0,
