Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2009,1975.0,Lindt & Sprungli,"Food, Drink & Tobacco",Switzerland,2600.0,220,2180.0,3990.0,
2010,1966.0,Lindt & Sprungli,"Food, Drink & Tobacco",Switzerland,2750.0,250,2260.0,4630.0,
2013,,Lindt & Sprungli,"Food, Drink & Tobacco",Switzerland,2848.0,290.0,2865.0,9320.0,1910.0
2014,,Lindt & Sprungli,"Food, Drink & Tobacco",Switzerland,3109.0,326.8,4364.0,13199.0,1700.0
2015,,Lindt & Sprungli,"Food, Drink & Tobacco",Switzerland,3698.0,374.0,5711.0,13834.0,1687.0
2016,,Lindt & Sprungli,"Food, Drink & Tobacco",Switzerland,3794.0,395.0,6386.0,16325.0,1486.0
2017,,Lindt & Sprungli,"Food, Drink & Tobacco",Switzerland,3960.0,426.0,6400.0,14583.0,1540.0
2018,,Lindt & Sprungli,"Food, Drink & Tobacco",Switzerland,4154.0,457.9,7274.0,18068.0,1560.0
2019,,Lindt & Sprungli,"Food, Drink & Tobacco",Switzerland,4407.0,496.0,7473.0,18601.0,1529.0
2020,,Lindt & Sprungli,"Food, Drink & Tobacco",Switzerland,4537.0,512.8,8443.0,19918.0,1438.0
2021,,Lindt & Sprungli,"Food, Drink & Tobacco",Switzerland,4280.0,342.7,9218.0,23383.0,1799
2022,1760,Lindt & Sprungli,"Food, Drink & Tobacco",Switzerland,5015.0,536.5,9961.0,27878.0,
