Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,662.0,Lotte Shopping,Retailing,South Korea,10800.0,800,15420.0,9940.0,
2009,706.0,Lotte Shopping,Retailing,South Korea,11730.0,800,16030.0,3120.0,
2010,632.0,Lotte Shopping,Retailing,South Korea,10300.0,600,13420.0,7990.0,
2011,586.0,Lotte Shopping,Retailing,South Korea,13737.0,614.1,21127.0,11030.0,
2012,,Lotte Shopping,Retailing,South Korea,20106.0,841.9,28481.0,9441.0,518.0
2013,,Lotte Shopping,Retailing,South Korea,22244.0,959.0,34648.0,10292.0,470.0
2014,,Lotte Shopping,Retailing,South Korea,25770.0,720.0,36929.0,9282.0,560.0
2015,,Lotte Shopping,Retailing,South Korea,26694.0,475.9,36458.0,6238.0,803.0
2016,,Lotte Shopping,Retailing,South Korea,25736.0,-348.3,34705.0,7288.0,912.0
2017,,Lotte Shopping,Retailing,South Korea,25450.0,133.9,34704.0,5744.0,1082.0
2018,,Lotte Shopping,Retailing,South Korea,18552.0,-131.9,26107.0,6294.0,1231.0
2019,,Lotte Shopping,Retailing,South Korea,16213.0,-660.0,23534.0,4451.0,1326.0
2020,,Lotte Shopping,Retailing,South Korea,15111.0,-779.9,29377.0,2316.0,1288.0
2021,,Lotte Shopping,Retailing,South Korea,13717.0,-663.7,30221.0,3128.0,1361
2022,1483,Lotte Shopping,Retailing,South Korea,13599.0,-255.2,28119.0,2231.0,
