Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2011,454.0,MS&AD Insurance,Insurance,Japan,19417.0,402.8,80407.0,15317.0,
2012,,MS&AD Insurance,Insurance,Japan,38976.0,65.2,134539.0,13328.0,576.0
2013,,MS&AD Insurance,Insurance,Japan,42172.0,-2047.2,173417.0,14125.0,575.0
2014,,MS&AD Insurance,Insurance,Japan,45810.0,1524.7,160752.0,14305.0,266.0
2015,,MS&AD Insurance,Insurance,Japan,44291.0,1327.7,153367.0,18101.0,271.0
2016,,MS&AD Insurance,Insurance,Japan,39397.0,828.1,160770.0,17635.0,296.0
2017,,MS&AD Insurance,Insurance,Japan,47809.0,2029.2,178271.0,19186.0,206.0
2018,,MS&AD Insurance,Insurance,Japan,47248.0,877.8,202958.0,20257.0,334.0
2019,,MS&AD Insurance,Insurance,Japan,46230.0,2096.0,206562.0,18020.0,263.0
2020,,MS&AD Insurance,Insurance,Japan,50584.0,2637.9,220136.0,16697.0,215.0
2021,,MS&AD Insurance,Insurance,Japan,42778.0,216.9,232450.0,16788.0,602
2022,344,MS&AD Insurance,Insurance,Japan,41889.0,1810.8,216843.0,16510.0,
