Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,630.0,Magna International,Consumer Durables,Canada,26070.0,660,15060.0,8550.0,
2009,1008.0,Magna International,Consumer Durables,Canada,23700.0,70,13010.0,2900.0,
2010,992.0,Magna International,Consumer Durables,Canada,17370.0,-490,12300.0,6400.0,
2011,520.0,Magna International,Consumer Durables,Canada,24102.0,973.0,13898.0,12152.0,
2012,,Magna International,Consumer Durables,Canada,28748.0,1018.0,14679.0,11295.0,547.0
2013,,Magna International,Consumer Durables,Canada,30837.0,1433.0,17109.0,13177.0,465.0
2014,,Magna International,Consumer Durables,Canada,34836.0,1561.5,17990.0,21931.0,409.0
2015,,Magna International,Consumer Durables,Canada,36649.0,1882.7,18139.0,22174.0,417.0
2016,,Magna International,Consumer Durables,Canada,32674.0,1968.6,19706.0,17319.0,398.0
2017,,Magna International,Consumer Durables,Canada,36447.0,2029.7,22566.0,15300.0,410.0
2018,,Magna International,Consumer Durables,Canada,40349.0,2280.0,27089.0,22562.0,391.0
2019,,Magna International,Consumer Durables,Canada,40799.0,2291.0,25945.0,18342.0,427.0
2020,,Magna International,Consumer Durables,Canada,39442.0,1769.6,25790.0,11673.0,500.0
2021,,Magna International,Consumer Durables,Canada,32451.0,712.7,28605.0,28791.0,486
2022,547,Magna International,Consumer Durables,Canada,36247.0,1514.0,29086.0,18143.0,
