Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1919.0,Mahindra & Mahindra,Consumer Durables,India,4070.0,350,4590.0,4120.0,
2009,1529.0,Mahindra & Mahindra,Consumer Durables,India,5920.0,390,6460.0,1450.0,
2010,1308.0,Mahindra & Mahindra,Consumer Durables,India,5130.0,270,6130.0,5960.0,
2011,1025.0,Mahindra & Mahindra,Consumer Durables,India,7020.0,553.0,7940.0,8163.0,
2012,,Mahindra & Mahindra,Consumer Durables,India,8110.0,691.4,11248.0,8282.0,918.0
2013,,Mahindra & Mahindra,Consumer Durables,India,10903.0,614.7,12460.0,10539.0,816.0
2014,,Mahindra & Mahindra,Consumer Durables,India,12366.0,725.2,14123.0,9865.0,803.0
2015,,Mahindra & Mahindra,Consumer Durables,India,11605.0,707.8,14738.0,12416.0,814.0
2016,,Mahindra & Mahindra,Consumer Durables,India,10448.0,424.5,15222.0,12348.0,901.0
2017,,Mahindra & Mahindra,Consumer Durables,India,10659.0,490.5,16361.0,11758.0,916.0
2018,,Mahindra & Mahindra,Consumer Durables,India,14011.0,1134.0,12415.0,16054.0,826.0
2019,,Mahindra & Mahindra,Consumer Durables,India,15189.0,833.0,,12252.0,973.0
2020,,Mahindra & Mahindra,Consumer Durables,India,14510.0,291.0,23534.0,6069.0,1291.0
2021,,Mahindra & Mahindra,Consumer Durables,India,11022.0,-79.9,24316.0,13747.0,1197
2022,1063,Mahindra & Mahindra,Consumer Durables,India,11590.0,731.7,22356.0,14958.0,
