Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1153.0,Mattel,Consumer Durables,United States,5970.0,600,4810.0,6980.0,
2009,1192.0,Mattel,Consumer Durables,United States,5920.0,380,4680.0,4240.0,
2010,1013.0,Mattel,Consumer Durables,United States,5430.0,530,4780.0,8030.0,
2011,1085.0,Mattel,Consumer Durables,United States,5856.0,684.9,5418.0,8741.0,
2012,,Mattel,Consumer Durables,United States,6266.0,768.5,5672.0,11207.0,1039.0
2013,,Mattel,Consumer Durables,United States,6421.0,776.5,6527.0,14518.0,990.0
2014,,Mattel,Consumer Durables,United States,6485.0,895.7,6440.0,13686.0,1013.0
2015,,Mattel,Consumer Durables,United States,6024.0,496.2,6722.0,8118.0,1521.0
2016,,Mattel,Consumer Durables,United States,5649.0,352.8,5969.0,10897.0,1463.0
2017,,Mattel,Consumer Durables,United States,5457.0,317.6,6494.0,8535.0,1778.0
