Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,700.0,Mazda Motor,Consumer Durables,Japan,27640.0,630,15820.0,5930.0,
2009,700.0,Mazda Motor,Consumer Durables,Japan,34830.0,920,19490.0,1830.0,
2010,972.0,Mazda Motor,Consumer Durables,Japan,26040.0,-730,17500.0,4660.0,
2011,1115.0,Mazda Motor,Consumer Durables,Japan,23154.0,-69.3,19901.0,4349.0,
2012,,Mazda Motor,Consumer Durables,Japan,27978.0,-722.3,20985.0,4867.0,1055.0
2013,,Mazda Motor,Consumer Durables,Japan,24559.0,-1301.4,23208.0,9461.0,852.0
2014,,Mazda Motor,Consumer Durables,Japan,26739.0,882.5,19665.0,13449.0,550.0
2015,,Mazda Motor,Consumer Durables,Japan,27828.0,1792.6,19739.0,11640.0,537.0
2016,,Mazda Motor,Consumer Durables,Japan,27986.0,1245.6,20932.0,9742.0,547.0
2017,,Mazda Motor,Consumer Durables,Japan,29518.0,836.5,21968.0,8109.0,682.0
2018,,Mazda Motor,Consumer Durables,Japan,31345.0,1011.5,25652.0,8426.0,739.0
2019,,Mazda Motor,Consumer Durables,Japan,32131.0,581.0,25187.0,7593.0,850.0
2020,,Mazda Motor,Consumer Durables,Japan,32092.0,539.5,26413.0,3604.0,949.0
2021,,Mazda Motor,Consumer Durables,Japan,26538.0,-922.5,28453.0,5151.0,1190
2022,1093,Mazda Motor,Consumer Durables,Japan,28078.0,691.9,26085.0,4530.0,
