Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2011,1281.0,Medipal Holdings,Drugs & Biotechnology,Japan,27242.0,21.0,12484.0,2185.0,
2012,,Medipal Holdings,Drugs & Biotechnology,Japan,32034.0,20.5,15498.0,2989.0,1242.0
2013,,Medipal Holdings,Drugs & Biotechnology,Japan,33223.0,140.7,15483.0,3216.0,1248.0
2014,,Medipal Holdings,Drugs & Biotechnology,Japan,29538.0,237.2,13373.0,3624.0,1332.0
2015,,Medipal Holdings,Drugs & Biotechnology,Japan,27425.0,209.9,12200.0,3051.0,1405.0
2016,,Medipal Holdings,Drugs & Biotechnology,Japan,24741.0,235.0,13047.0,4080.0,1389.0
2017,,Medipal Holdings,Drugs & Biotechnology,Japan,28215.0,295.9,13479.0,3677.0,1299.0
2018,,Medipal Holdings,Drugs & Biotechnology,Japan,27867.0,296.1,15032.0,4902.0,1389.0
2019,,Medipal Holdings,Drugs & Biotechnology,Japan,28780.0,311.0,15370.0,4907.0,1378.0
2020,,Medipal Holdings,Drugs & Biotechnology,Japan,29748.0,318.5,15970.0,4112.0,1413.0
2021,,Medipal Holdings,Drugs & Biotechnology,Japan,30049.0,249.9,16895.0,4181.0,1428
2022,1548,Medipal Holdings,Drugs & Biotechnology,Japan,29849.0,331.4,15444.0,3349.0,
