Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,901.0,Mega Financial Holding,Diversified Financials,Taiwan,2770.0,510,68610.0,8000.0,
2009,911.0,Mega Financial Holding,Diversified Financials,Taiwan,2890.0,530,71200.0,3040.0,
2010,1225.0,Mega Financial Holding,Diversified Financials,Taiwan,2470.0,10,73360.0,6170.0,
2011,911.0,Mega Financial Holding,Diversified Financials,Taiwan,2066.0,448.0,78015.0,8337.0,
2012,,Mega Financial Holding,Diversified Financials,Taiwan,1865.0,518.0,86027.0,8246.0,909.0
2013,,Mega Financial Holding,Diversified Financials,Taiwan,1994.0,583.8,86434.0,9731.0,827.0
2014,,Mega Financial Holding,Diversified Financials,Taiwan,2373.0,742.6,95449.0,9590.0,832.0
2015,,Mega Financial Holding,Diversified Financials,Taiwan,2727.0,937.7,109658.0,10453.0,797.0
2016,,Mega Financial Holding,Diversified Financials,Taiwan,2625.0,926.4,103465.0,9703.0,792.0
2017,,Mega Financial Holding,Diversified Financials,Taiwan,2486.0,696.3,103006.0,10636.0,863.0
2018,,Mega Financial Holding,Diversified Financials,Taiwan,2774.0,845.9,119204.0,12065.0,865.0
2019,,Mega Financial Holding,Diversified Financials,Taiwan,3158.0,925.0,115238.0,12436.0,824.0
2020,,Mega Financial Holding,Diversified Financials,Taiwan,3345.0,936.7,122879.0,13766.0,730.0
2021,,Mega Financial Holding,Diversified Financials,Taiwan,2794.0,849.7,137247.0,15380.0,777
2022,829,Mega Financial Holding,Diversified Financials,Taiwan,2624.0,921.2,150658.0,19315.0,
