Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1891.0,Microchip Technology,Semiconductors,United States,1030.0,350,2620.0,5810.0,
2009,1754.0,Microchip Technology,Semiconductors,United States,990.0,300,2450.0,3420.0,
2011,1783.0,Microchip Technology,Semiconductors,United States,1385.0,369.2,2829.0,6710.0,
2012,,Microchip Technology,Semiconductors,United States,1424.0,381.6,3021.0,7006.0,1826.0
2014,,Microchip Technology,Semiconductors,United States,1868.0,343.5,4003.0,9529.0,1869.0
2015,,Microchip Technology,Semiconductors,United States,2097.0,381.1,4629.0,9734.0,1909.0
2016,,Microchip Technology,Semiconductors,United States,2159.0,356.2,5447.0,10626.0,1749.0
2017,,Microchip Technology,Semiconductors,United States,3063.0,94.4,7145.0,16029.0,1904.0
2018,,Microchip Technology,Food Markets,United States,3981.0,255.4,8257.0,21782.0,1788.0
2019,,Microchip Technology,Semiconductors,United States,5022.0,328.0,18156.0,23391.0,1360.0
2020,,Microchip Technology,Semiconductors,United States,5278.0,645.4,17589.0,21015.0,1040.0
2021,,Microchip Technology,Semiconductors,United States,5298.0,333.3,16576.0,42621.0,1236
2022,1073,Microchip Technology,Semiconductors,United States,6444.0,963.6,16047.0,36734.0,
