Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,527.0,Mitsubishi Chemical,Chemicals,Japan,22320.0,850,19590.0,9400.0,
2009,348.0,Mitsubishi Chemical,Chemicals,Japan,29360.0,1640,27520.0,5170.0,
2010,769.0,Mitsubishi Chemical,Chemicals,Japan,29880.0,-690,27010.0,6860.0,
2011,741.0,Mitsubishi Chemical,Chemicals,Japan,26911.0,137.3,34684.0,10074.0,
2012,,Mitsubishi Chemical,Chemicals,Japan,38096.0,1005.5,38422.0,8102.0,449.0
2013,,Mitsubishi Chemical,Chemicals,Japan,38755.0,428.7,37366.0,7379.0,631.0
2014,,Mitsubishi Chemical,Chemicals,Japan,33438.0,479.6,33417.0,6040.0,736.0
2015,,Mitsubishi Chemical,Chemicals,Japan,34933.0,663.9,36895.0,9025.0,600.0
2016,,Mitsubishi Chemical,Chemicals,Japan,31630.0,139.2,35833.0,8103.0,851.0
2017,,Mitsubishi Chemical,Chemicals,Japan,31798.0,1350.9,38052.0,11067.0,435.0
2018,,Mitsubishi Chemical,Chemicals,Japan,33604.0,1910.6,44199.0,13417.0,441.0
2019,,Mitsubishi Chemical,Chemicals,Japan,35258.0,1891.0,51168.0,10079.0,475.0
2020,,Mitsubishi Chemical,Chemicals,Japan,34147.0,732.2,49810.0,8199.0,599.0
2021,,Mitsubishi Chemical,Chemicals,Japan,30020.0,-655.9,49607.0,11035.0,879
2022,665,Mitsubishi Chemical,Chemicals,Japan,34607.0,1478.1,47395.0,8741.0,
