Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,449.0,Mitsubishi Estate,Diversified Financials,Japan,8060.0,830,29290.0,34610.0,
2009,401.0,Mitsubishi Estate,Diversified Financials,Japan,7890.0,870,43390.0,14210.0,
2010,389.0,Mitsubishi Estate,Diversified Financials,Japan,9680.0,470,44800.0,21970.0,
2011,657.0,Mitsubishi Estate,Real Estate,Japan,10844.0,127.3,46525.0,27468.0,
2012,,Mitsubishi Estate,Real Estate,Japan,11891.0,772.6,51151.0,26027.0,407.0
2013,,Mitsubishi Estate,Real Estate,Japan,12238.0,682.7,53214.0,40797.0,395.0
2014,,Mitsubishi Estate,Real Estate,Japan,10166.0,718.4,45085.0,32837.0,468.0
2015,,Mitsubishi Estate,Real Estate,Japan,10274.0,967.1,40727.0,33065.0,469.0
2016,,Mitsubishi Estate,Real Estate,Japan,9038.0,455.7,42134.0,28447.0,596.0
2017,,Mitsubishi Estate,Real Estate,Japan,10322.0,868.6,46337.0,25434.0,479.0
2018,,Mitsubishi Estate,Real Estate,Japan,9736.0,876.2,51403.0,25742.0,564.0
2019,,Mitsubishi Estate,Construction,Japan,11571.0,1197.0,53442.0,22829.0,508.0
2020,,Mitsubishi Estate,Construction,Japan,11156.0,1142.4,55172.0,22316.0,483.0
2021,,Mitsubishi Estate,Construction,Japan,11734.0,1410.4,59838.0,23446.0,440
2022,649,Mitsubishi Estate,Construction,Japan,12144.0,1219.7,55323.0,19039.0,
