Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2012,,Mitsubishi Heavy Industries,Capital Goods,Japan,34932.0,362.3,47999.0,16224.0,497.0
2013,,Mitsubishi Heavy Industries,Capital Goods,Japan,34077.0,296.4,48032.0,18840.0,546.0
2014,,Mitsubishi Heavy Industries,Capital Goods,Japan,31829.0,1286.9,41866.0,19437.0,337.0
2015,,Mitsubishi Heavy Industries,Capital Goods,Japan,35618.0,1449.2,44026.0,18781.0,334.0
2016,,Mitsubishi Heavy Industries,Capital Goods,Japan,34208.0,765.1,46942.0,13038.0,415.0
2017,,Mitsubishi Heavy Industries,Capital Goods,Japan,35970.0,-7.3,48910.0,13361.0,708.0
2018,,Mitsubishi Heavy Industries,Capital Goods,Japan,37090.0,636.0,51600.0,12776.0,575.0
2019,,Mitsubishi Heavy Industries,Capital Goods,Japan,37655.0,734.0,48032.0,13851.0,534.0
2020,,Mitsubishi Heavy Industries,Capital Goods,Japan,37020.0,1535.6,51043.0,8682.0,481.0
2021,,Mitsubishi Heavy Industries,Capital Goods,Japan,35481.0,-102.9,48134.0,10400.0,895
2022,721,Mitsubishi Heavy Industries,Capital Goods,Japan,34057.0,795.1,44427.0,11581.0,
