Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,530.0,Mitsui OSK Lines,Transportation,Japan,13350.0,1030,13930.0,16010.0,
2009,390.0,Mitsui OSK Lines,Transportation,Japan,19500.0,1910,19070.0,6240.0,
2010,447.0,Mitsui OSK Lines,Transportation,Japan,19160.0,1300,18240.0,7730.0,
2011,960.0,Mitsui OSK Lines,Transportation,Japan,14423.0,136.1,19861.0,7612.0,
2012,,Mitsui OSK Lines,Transportation,Japan,18570.0,701.1,22462.0,5493.0,728.0
2013,,Mitsui OSK Lines,Transportation,Japan,17337.0,-314.2,23507.0,4225.0,1212.0
2014,,Mitsui OSK Lines,Transportation,Japan,17055.0,-928.2,21745.0,4734.0,1251.0
2015,,Mitsui OSK Lines,Transportation,Japan,16996.0,498.5,21049.0,4051.0,999.0
2016,,Mitsui OSK Lines,Transportation,Japan,14780.0,254.1,20608.0,3004.0,1285.0
2017,,Mitsui OSK Lines,Transportation,Japan,13589.0,-1515.9,18788.0,3683.0,1381.0
2018,,Mitsui OSK Lines,Transportation,Japan,14909.0,-427.5,19990.0,3586.0,1401.0
2019,,Mitsui OSK Lines,Transportation,Japan,12268.0,-512.0,19794.0,2942.0,1496.0
2020,,Mitsui OSK Lines,Transportation,Japan,10627.0,300.0,19441.0,2117.0,1652.0
2021,,Mitsui OSK Lines,Transportation,Japan,9552.0,454.7,19917.0,4193.0,1389
2022,868,Mitsui OSK Lines,Transportation,Japan,10815.0,4667.5,22199.0,8902.0,
