Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,850.0,Molson Coors Brewing,"Food, Drink & Tobacco",United States,6190.0,500,13450.0,9770.0,
2009,941.0,Molson Coors Brewing,"Food, Drink & Tobacco",United States,4770.0,390,10420.0,6480.0,
2010,982.0,Molson Coors Brewing,"Food, Drink & Tobacco",United States,3030.0,720,12020.0,7620.0,
2011,1102.0,Molson Coors Brewing,"Food, Drink & Tobacco",United States,3254.0,707.7,12698.0,8240.0,
2012,,Molson Coors Brewing,"Food, Drink & Tobacco",United States,3516.0,676.3,12424.0,7782.0,1225.0
2013,,Molson Coors Brewing,"Food, Drink & Tobacco",United States,3916.0,443.0,16184.0,8781.0,1223.0
2014,,Molson Coors Brewing,"Food, Drink & Tobacco",United States,4206.0,567.3,15580.0,10840.0,1142.0
2015,,Molson Coors Brewing,"Food, Drink & Tobacco",United States,4146.0,514.0,13996.0,14288.0,1245.0
2016,,Molson Coors Brewing,"Food, Drink & Tobacco",United States,3568.0,359.5,12276.0,20585.0,1280.0
2017,,Molson Coors Brewing,"Food, Drink & Tobacco",United States,4885.0,1972.0,29342.0,20531.0,654.0
2018,,Molson Coors Brewing,"Food, Drink & Tobacco",United States,10886.0,1470.2,30184.0,13100.0,672.0
2019,,Molson Coors Brewing,"Food, Drink & Tobacco",United States,10770.0,1117.0,30110.0,13282.0,691.0
2020,,Molson Coors Brewing,"Food, Drink & Tobacco",United States,10379.0,-26.7,28461.0,8880.0,1158.0
2021,,Molson Coors Brewing,"Food, Drink & Tobacco",United States,9654.0,-949.0,27331.0,11598.0,1299
2022,974,Molson Coors Brewing,"Food, Drink & Tobacco",United States,10280.0,1005.7,27619.0,11662.0,
