Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1244.0,Mondi,Materials,United Kingdom/South Africa,8550.0,320,9970.0,4080.0,
2009,1707.0,Mondi,Materials,United Kingdom/South Africa,7390.0,-250,8540.0,970.0,
2010,1682.0,Mondi,Materials,United Kingdom/South Africa,7540.0,-50,8850.0,3000.0,
2011,1564.0,Mondi,Materials,United Kingdom,8313.0,299.0,6568.0,4618.0,
2012,,Mondi,Materials,United Kingdom,7741.0,445.1,7312.0,4727.0,1490.0
2013,,Mondi,Materials,United Kingdom,7652.0,322.0,8710.0,6393.0,1487.0
2014,,Mondi,Materials,United Kingdom,8598.0,512.4,8598.0,8409.0,1211.0
2015,,Mondi,Materials,United Kingdom,8497.0,625.3,7681.0,9479.0,1203.0
2016,,Mondi,Materials,United Kingdom,7564.0,665.3,7027.0,8985.0,1135.0
2017,,Mondi,Materials,United Kingdom,7366.0,700.4,7710.0,11721.0,1097.0
2018,,Mondi,Materials,United Kingdom,8008.0,756.8,8657.0,13148.0,1132.0
2019,,Mondi,Materials,United Kingdom,8824.0,973.0,9193.0,10901.0,1105.0
2020,,Mondi,Materials,United Kingdom,8132.0,908.1,9586.0,8621.0,1189.0
2021,,Mondi,Materials,United Kingdom,7594.0,661.5,10237.0,13248.0,1261
2022,1522,Mondi,Materials,United Kingdom,9127.0,893.2,10532.0,9391.0,
