Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,448.0,Monsanto,Chemicals,United States,9120.0,1160,15310.0,63390.0,
2009,320.0,Monsanto,Chemicals,United States,11970.0,2320,16910.0,41740.0,
2010,342.0,Monsanto,Chemicals,United States,10770.0,1530,17610.0,38870.0,
2011,447.0,Monsanto,Chemicals,United States,10635.0,1135.0,18814.0,36233.0,
2012,,Monsanto,Chemicals,United States,12425.0,1724.0,20423.0,42196.0,396.0
2013,,Monsanto,Chemicals,United States,14004.0,2258.0,22537.0,55853.0,344.0
2014,,Monsanto,Chemicals,United States,15425.0,2698.0,23457.0,59831.0,334.0
2015,,Monsanto,Chemicals,United States,14928.0,2370.0,22402.0,55747.0,360.0
2016,,Monsanto,Chemicals,United States,13678.0,1456.0,19413.0,41098.0,420.0
2017,,Monsanto,Chemicals,United States,14458.0,1919.0,21373.0,50934.0,378.0
2018,,Monsanto,Chemicals,United States,14595.0,2491.0,22687.0,55147.0,427.0
