Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,70.0,Munich Re,Insurance,Germany,67570.0,5630,306030.0,37340.0,
2009,75.0,Munich Re,Insurance,Germany,64200.0,2090,291870.0,24290.0,
2010,74.0,Munich Re,Insurance,Germany,59310.0,3670,284210.0,30120.0,
2011,109.0,Munich Re,Insurance,Germany,60910.0,3253.0,306181.0,28257.0,
2012,,Munich Re,Insurance,Germany,84809.0,977.5,320864.0,27133.0,180.0
2013,,Munich Re,Insurance,Germany,87979.0,4212.0,340620.0,34876.0,81.0
2014,,Munich Re,Insurance,Germany,88026.0,4398.4,343086.0,38890.0,92.0
2015,,Munich Re,Insurance,Germany,77016.0,4167.7,323871.0,38246.0,101.0
2016,,Munich Re,Insurance,Germany,63517.0,3446.5,295683.0,34142.0,101.0
2017,,Munich Re,Insurance,Germany,68764.0,2854.0,286949.0,30461.0,120.0
2018,,Munich Re,Insurance,Germany,63438.0,756.1,323475.0,34778.0,279.0
2019,,Munich Re,Insurance,Germany,62872.0,2725.0,311574.0,36310.0,147.0
2020,,Munich Re,Insurance,Germany,36087.0,1352.1,317236.0,31112.0,206.0
2021,,Munich Re,Insurance,Germany,73867.0,1380.5,368749.0,43452.0,145
2022,156,Munich Re,Insurance,Germany,84882.0,3466.8,358972.0,35476.0,
