Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,914.0,Murata Manufacturing,Technology Hardware & Equipment,Japan,4820.0,610,8580.0,12270.0,
2009,735.0,Murata Manufacturing,Technology Hardware & Equipment,Japan,6330.0,780,10270.0,8270.0,
2010,1183.0,Murata Manufacturing,Technology Hardware & Equipment,Japan,5380.0,40,9000.0,11880.0,
2011,1071.0,Murata Manufacturing,Consumer Durables,Japan,5680.0,264.9,9837.0,14691.0,
2012,,Murata Manufacturing,Consumer Durables,Japan,7434.0,643.5,11810.0,13391.0,827.0
2013,,Murata Manufacturing,Consumer Durables,Japan,7063.0,372.1,12041.0,15559.0,989.0
2014,,Murata Manufacturing,Consumer Durables,Japan,8431.0,877.2,11592.0,21280.0,776.0
2015,,Murata Manufacturing,Consumer Durables,Japan,9216.0,1414.7,11707.0,32339.0,671.0
2016,,Murata Manufacturing,Consumer Durables,Japan,10039.0,1756.4,12556.0,28962.0,593.0
2017,,Murata Manufacturing,Consumer Durables,Japan,10375.0,1423.1,13860.0,28400.0,622.0
2018,,Murata Manufacturing,Consumer Durables,Japan,12378.0,1318.1,16897.0,29460.0,632.0
2019,,Murata Manufacturing,Technology Hardware & Equipment,Japan,14077.0,1757.0,18660.0,33891.0,541.0
2020,,Murata Manufacturing,Technology Hardware & Equipment,Japan,14037.0,1699.8,20640.0,36012.0,498.0
2021,,Murata Manufacturing,Technology Hardware & Equipment,Japan,14832.0,1990.8,23259.0,52877.0,406
2022,514,Murata Manufacturing,Technology Hardware & Equipment,Japan,16282.0,2832.0,23075.0,38943.0,
