Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,771.0,NRG Energy,Utilities,United States,5990.0,590,19270.0,9760.0,
2009,600.0,NRG Energy,Utilities,United States,6890.0,1190,24810.0,4460.0,
2010,578.0,NRG Energy,Utilities,United States,8950.0,940,23380.0,5910.0,
2011,874.0,NRG Energy,Utilities,United States,8849.0,477.0,26896.0,4899.0,
2012,,NRG Energy,Utilities,United States,9079.0,197.0,26715.0,3818.0,1346.0
2013,,NRG Energy,Utilities,United States,8422.0,559.0,35128.0,8431.0,751.0
2014,,NRG Energy,Utilities,United States,11850.0,-386.0,33902.0,10303.0,930.0
2015,,NRG Energy,Utilities,United States,15258.0,134.0,40665.0,8261.0,943.0
2016,,NRG Energy,Utilities,United States,15013.0,-6382.0,32882.0,4486.0,1167.0
2017,,NRG Energy,Utilities,United States,13103.0,-774.0,30355.0,5851.0,1217.0
2018,,NRG Energy,Utilities,United States,10609.0,-1696.0,23752.0,10993.0,1146.0
2019,,NRG Energy,Utilities,United States,10128.0,597.0,10628.0,11438.0,1207.0
2020,,NRG Energy,Utilities,United States,9691.0,4132.0,12531.0,8401.0,885.0
2021,,NRG Energy,Utilities,United States,8934.0,510.0,14902.0,9465.0,1421
2022,750,NRG Energy,Utilities,United States,26897.0,2187.0,23182.0,9180.0,
