Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1608.0,Nanto Bank,Banking,Japan,1010.0,50,39360.0,1240.0,
2009,1598.0,Nanto Bank,Banking,Japan,1080.0,50,45380.0,1480.0,
2010,1636.0,Nanto Bank,Banking,Japan,1160.0,-230,46170.0,1550.0,
2011,1649.0,Nanto Bank,Banking,Japan,988.0,78.0,48528.0,1368.0,
2012,,Nanto Bank,Banking,Japan,1094.0,79.2,55230.0,1379.0,1642.0
2013,,Nanto Bank,Banking,Japan,1007.0,41.9,58150.0,1260.0,1676.0
2014,,Nanto Bank,Banking,Japan,809.0,77.8,49744.0,1014.0,1692.0
2015,,Nanto Bank,Banking,Japan,773.0,89.3,44711.0,933.0,1727.0
2016,,Nanto Bank,Banking,Japan,615.0,74.8,46737.0,789.0,1734.0
2017,,Nanto Bank,Banking,Japan,710.0,129.5,50746.0,967.0,1715.0
2018,,Nanto Bank,Banking,Japan,655.0,120.0,51782.0,878.0,1735.0
2019,,Nanto Bank,Banking,Japan,600.0,87.0,52118.0,613.0,1753.0
2020,,Nanto Bank,Banking,Japan,732.0,85.8,53596.0,690.0,1810.0
2021,,Nanto Bank,Banking,Japan,679.0,52.3,60826.0,554.0,1873
2022,1855,Nanto Bank,Banking,Japan,667.0,115.3,60194.0,509.0,
