Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2012,,New China Life Insurance,Insurance,China,15409.0,341.2,46216.0,14552.0,600.0
2013,,New China Life Insurance,Insurance,China,17976.0,465.0,79181.0,11814.0,508.0
2014,,New China Life Insurance,Insurance,China,18657.0,736.9,88626.0,10208.0,474.0
2015,,New China Life Insurance,Insurance,China,23234.0,1037.8,103735.0,24451.0,308.0
2016,,New China Life Insurance,Insurance,China,25164.0,1378.9,101824.0,16241.0,297.0
2017,,New China Life Insurance,Insurance,China,22049.0,750.8,100525.0,17605.0,369.0
2018,,New China Life Insurance,Insurance,China,22089.0,937.0,114442.0,20391.0,402.0
2019,,New China Life Insurance,Insurance,China,23382.0,1222.0,106542.0,25642.2,336.0
2020,,New China Life Insurance,Insurance,China,25233.0,2126.0,125778.0,10825.0,330.0
2021,,New China Life Insurance,Insurance,China,29851.0,2065.6,153056.0,11864.0,356
2022,477,New China Life Insurance,Insurance,China,34437.0,2313.3,176357.0,8907.0,
