Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,942.0,Newmont Mining,Materials,United States,5530.0,-1890,15600.0,23190.0,
2009,545.0,Newmont Mining,Materials,United States,6200.0,850,15840.0,20370.0,
2010,398.0,Newmont Mining,Materials,United States,7710.0,1300,22300.0,24690.0,
2011,394.0,Newmont Mining,Diversified Metals & Mining,United States,9540.0,2277.0,25663.0,25709.0,
2012,,Newmont Mining,Diversified Metals & Mining,United States,10358.0,366.0,27474.0,26610.0,639.0
2013,,Newmont Mining,Diversified Metals & Mining,United States,9868.0,1833.0,29650.0,19715.0,448.0
2014,,Newmont Mining,Diversified Metals & Mining,United States,8322.0,-2462.0,24764.0,11794.0,1033.0
2015,,Newmont Mining,Diversified Metals & Mining,United States,7322.0,508.0,24916.0,11269.0,891.0
2016,,Newmont Mining,Diversified Metals & Mining,United States,7789.0,89.0,24553.0,16568.0,977.0
2017,,Newmont Mining,Diversified Metals & Mining,United States,7650.0,-27.0,21031.0,18236.0,1056.0
2018,,Newmont Mining,Diversified Metals & Mining,United States,7506.0,48.0,20483.0,21548.0,1099.0
2019,,Newmont Mining,Materials,United States,7262.0,341.0,20715.0,17599.0,1195.0
2020,,Newmont Mining,Materials,United States,9726.0,2805.0,39974.0,48047.0,394.0
2021,,Newmont Mining,Materials,United States,11417.0,2829.0,41369.0,52400.0,337
2022,551,Newmont Mining,Materials,United States,12247.0,1055.0,39913.0,59061.0,
