Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,464.0,Nintendo,Technology Hardware & Equipment,Japan,8230.0,1480,13290.0,65600.0,
2009,274.0,Nintendo,Technology Hardware & Equipment,Japan,16760.0,2580,17870.0,41250.0,
2010,260.0,Nintendo,Technology Hardware & Equipment,Japan,18880.0,2870,18030.0,39340.0,
2011,331.0,Nintendo,Consumer Durables,Japan,15348.0,2446.4,18462.0,39824.0,
2012,,Nintendo,Consumer Durables,Japan,12203.0,933.8,19296.0,21393.0,508.0
2013,,Nintendo,Consumer Durables,Japan,7824.0,-521.9,15933.0,14388.0,1078.0
2014,,Nintendo,Consumer Durables,Japan,6059.0,28.2,15100.0,16621.0,1207.0
2015,,Nintendo,Consumer Durables,Japan,4870.0,246.6,12352.0,22181.0,1394.0
2016,,Nintendo,Consumer Durables,Japan,4399.0,189.0,11719.0,21748.0,1436.0
2017,,Nintendo,Consumer Durables,Japan,3588.0,726.3,12545.0,32839.0,1033.0
2018,,Nintendo,Media,Japan,9525.0,1259.0,15362.0,59796.0,660.0
2019,,Nintendo,Consumer Durables,Japan,10829.0,1568.0,16600.0,36573.0,619.0
2020,,Nintendo,Consumer Durables,Japan,11246.0,2033.0,17471.0,49739.0,534.0
2021,,Nintendo,Consumer Durables,Japan,15832.0,4110.9,22549.0,71212.0,346
2022,482,Nintendo,Consumer Durables,Japan,15242.0,4287.7,21774.0,58010.0,
