Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,96.0,Nissan Motor,Consumer Durables,Japan,89090.0,3920,104200.0,37900.0,
2009,88.0,Nissan Motor,Consumer Durables,Japan,108460.0,4830,119000.0,14140.0,
2010,424.0,Nissan Motor,Consumer Durables,Japan,86650.0,-2400,102520.0,35650.0,
2011,266.0,Nissan Motor,Consumer Durables,Japan,80435.0,453.6,107889.0,40813.0,
2012,,Nissan Motor,Consumer Durables,Japan,105540.0,3840.2,128704.0,48057.0,85.0
2013,,Nissan Motor,Consumer Durables,Japan,113661.0,4125.0,133419.0,43411.0,85.0
2014,,Nissan Motor,Consumer Durables,Japan,104001.0,3935.1,137241.0,40205.0,111.0
2015,,Nissan Motor,Consumer Durables,Japan,106683.0,4286.7,138936.0,45871.0,96.0
2016,,Nissan Motor,Consumer Durables,Japan,101018.0,4721.4,147363.0,42914.0,85.0
2017,,Nissan Motor,Consumer Durables,Japan,105939.0,4465.1,157269.0,38372.0,95.0
2018,,Nissan Motor,Consumer Durables,Japan,106866.0,7379.3,173683.0,39720.0,97.0
2019,,Nissan Motor,Consumer Durables,Japan,108668.0,4395.0,172845.0,33599.0,132.0
2020,,Nissan Motor,Consumer Durables,Japan,96349.0,383.0,166447.0,13532.0,512.0
2021,,Nissan Motor,Consumer Durables,Japan,72016.0,-10098.6,155294.0,20717.0,551
2022,408,Nissan Motor,Consumer Durables,Japan,79174.0,1095.4,136856.0,16359.0,
