Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,69.0,Nokia,Technology Hardware & Equipment,Finland,74540.0,10520,52620.0,145660.0,
2009,81.0,Nokia,Technology Hardware & Equipment,Finland,70630.0,5550,52290.0,35320.0,
2010,135.0,Nokia,Technology Hardware & Equipment,Finland,58720.0,1280,49110.0,49180.0,
2011,161.0,Nokia,Technology Hardware & Equipment,Finland,56822.0,2476.6,50344.0,31210.0,
2012,,Nokia,Technology Hardware & Equipment,Finland,50077.0,-1507.8,44601.0,19644.0,573.0
2013,,Nokia,Technology Hardware & Equipment,Finland,39809.0,-4097.6,37831.0,12510.0,689.0
2014,,Nokia,Technology Hardware & Equipment,Finland,27463.0,-816.5,34712.0,28064.0,631.0
2015,,Nokia,Technology Hardware & Equipment,Finland,16888.0,4166.4,25487.0,28590.0,347.0
2016,,Nokia,Technology Hardware & Equipment,Finland,14471.0,2734.6,22968.0,34605.0,360.0
2017,,Nokia,Technology Hardware & Equipment,Finland,26121.0,-748.9,49215.0,30349.0,608.0
2018,,Nokia,Technology Hardware & Equipment,Finland,26521.0,-1395.3,48288.0,35678.0,632.0
2019,,Nokia,Technology Hardware & Equipment,Finland,26620.0,-402.0,46612.0,32305.0,642.0
2020,,Nokia,Technology Hardware & Equipment,Finland,25768.0,391.0,43620.0,20457.0,625.0
2021,,Nokia,Technology Hardware & Equipment,Finland,24930.0,-2769.0,46522.0,23735.0,712
2022,406,Nokia,Technology Hardware & Equipment,Finland,26242.0,1919.5,45544.0,29664.0,
