Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,115.0,Nordea Bank,Banking,Sweden,23490.0,4300,568510.0,39400.0,
2009,116.0,Nordea Bank,Banking,Sweden,28540.0,3720,659720.0,13040.0,
2010,95.0,Nordea Bank,Banking,Sweden,22810.0,3410,729060.0,39420.0,
2011,126.0,Nordea Bank,Banking,Sweden,20328.0,3746.6,776285.0,43730.0,
2012,,Nordea Bank,Banking,Sweden,21686.0,3423.0,933283.0,39696.0,135.0
2013,,Nordea Bank,Banking,Sweden,23178.0,4163.8,892635.0,47124.0,118.0
2014,,Nordea Bank,Banking,Sweden,25551.0,4136.4,868706.0,58001.0,119.0
2015,,Nordea Bank,Banking,Sweden,20825.0,4419.8,809937.0,50846.0,132.0
2016,,Nordea Bank,Banking,Sweden,16127.0,4060.2,702903.0,39898.0,150.0
2017,,Nordea Bank,Banking,Sweden,15068.0,4171.2,649580.0,45411.0,157.0
2018,,Nordea Bank,Banking,Sweden,15196.0,3508.0,713544.0,43020.0,199.0
2019,,Nordea Bank,Banking,Finland,14957.0,3622.0,630565.0,33899.0,231.0
2020,,Nordea Bank,Banking,Finland,13037.0,1693.4,622763.0,26140.0,291.0
2021,,Nordea Bank,Banking,Finland,12658.0,2534.2,676136.0,42046.0,224
2022,260,Nordea Bank,Banking,Finland,13565.0,4497.9,648827.0,40258.0,
