Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,414.0,Norfolk Southern,Transportation,United States,9430.0,1460,26140.0,19900.0,
2009,358.0,Norfolk Southern,Transportation,United States,10660.0,1720,26300.0,11620.0,
2010,399.0,Norfolk Southern,Transportation,United States,7970.0,1030,27370.0,19460.0,
2011,419.0,Norfolk Southern,Transportation,United States,9516.0,1496.0,28199.0,23692.0,
2012,,Norfolk Southern,Transportation,United States,11172.0,1916.0,28538.0,22773.0,404.0
2013,,Norfolk Southern,Transportation,United States,11040.0,1749.0,30342.0,23747.0,415.0
2014,,Norfolk Southern,Transportation,United States,11245.0,1903.0,32901.0,30377.0,395.0
2015,,Norfolk Southern,Transportation,United States,11624.0,1997.0,33647.0,31989.0,397.0
2016,,Norfolk Southern,Transportation,United States,10364.0,1628.0,33785.0,27052.0,407.0
2017,,Norfolk Southern,Transportation,United States,9888.0,1663.0,34892.0,36012.0,400.0
2018,,Norfolk Southern,Transportation,United States,10693.0,5519.0,36162.0,43059.0,377.0
2019,,Norfolk Southern,Transportation,United States,11458.0,2660.0,36614.0,52979.0,380.0
2020,,Norfolk Southern,Transportation,United States,11081.0,2421.0,37438.0,43832.0,388.0
2021,,Norfolk Southern,Transportation,United States,9789.0,2010.0,38414.0,73510.0,368
2022,440,Norfolk Southern,Transportation,United States,11142.0,3003.0,38894.0,67065.0,
