Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,585.0,Northern Trust,Banking,United States,5400.0,730,67610.0,14920.0,
2009,461.0,Northern Trust,Banking,United States,5680.0,790,82050.0,12410.0,
2010,488.0,Northern Trust,Banking,United States,4230.0,860,82140.0,12920.0,
2011,661.0,Northern Trust,Banking,United States,4026.0,669.5,83844.0,12335.0,
2012,,Northern Trust,Banking,United States,4169.0,603.6,100224.0,11398.0,760.0
2013,,Northern Trust,Banking,United States,4194.0,687.3,97464.0,13046.0,720.0
2014,,Northern Trust,Banking,United States,4002.0,719.3,102947.0,15603.0,725.0
2015,,Northern Trust,Banking,United States,4394.0,798.5,109946.0,16455.0,723.0
2016,,Northern Trust,Banking,United States,4850.0,969.1,117799.0,16569.0,606.0
2017,,Northern Trust,Banking,United States,5195.0,1008.0,123927.0,19756.0,576.0
2018,,Northern Trust,Banking,United States,5940.0,1285.0,129672.0,24506.0,562.0
2019,,Northern Trust,Banking,United States,6655.0,1536.0,132213.0,20073.0,542.0
2020,,Northern Trust,Banking,United States,6888.0,1489.2,161709.0,16469.0,526.0
2021,,Northern Trust,Banking,United States,6083.0,1197.2,170004.0,22228.0,541
2022,619,Northern Trust,Banking,United States,6566.0,1532.4,183890.0,22082.0,
