Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2009,1967.0,Novozymes,Drugs & Biotechnology,Denmark,1520.0,200,1840.0,4620.0,
2010,1743.0,Novozymes,Drugs & Biotechnology,Denmark,1630.0,230,2090.0,6410.0,
2011,1756.0,Novozymes,Drugs & Biotechnology,Denmark,1745.0,289.5,2254.0,9057.0,
2012,,Novozymes,Drugs & Biotechnology,Denmark,1830.0,317.9,2370.0,7860.0,1889.0
2013,,Novozymes,Drugs & Biotechnology,Denmark,1987.0,356.5,2631.0,10984.0,1633.0
2014,,Novozymes,Drugs & Biotechnology,Denmark,2091.0,391.3,3049.0,13789.0,1554.0
2015,,Novozymes,Drugs & Biotechnology,Denmark,2217.0,449.5,3133.0,14875.0,1519.0
2016,,Novozymes,Drugs & Biotechnology,Denmark,2076.0,423.2,2681.0,14448.0,1492.0
2017,,Novozymes,Drugs & Biotechnology,Denmark,2101.0,453.2,2761.0,12197.0,1591.0
2018,,Novozymes,Drugs & Biotechnology,Denmark,2247.0,495.3,3058.0,14438.0,1612.0
2019,,Novozymes,Drugs & Biotechnology,Denmark,2278.0,511.0,3017.0,13226.0,1668.0
2020,,Novozymes,Drugs & Biotechnology,Denmark,2184.0,486.9,3003.0,13799.0,1604.0
2021,,Novozymes,Drugs & Biotechnology,Denmark,2143.0,432.0,3456.0,18078.0,1737
