Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,991.0,Obayashi,Construction,Japan,13340.0,350,17550.0,3500.0,
2009,954.0,Obayashi,Construction,Japan,16950.0,190,18590.0,3050.0,
2010,1177.0,Obayashi,Construction,Japan,17280.0,110,17240.0,2800.0,
2011,1287.0,Obayashi,Construction,Japan,14354.0,-570.9,16628.0,3057.0,
2012,,Obayashi,Construction,Japan,13616.0,185.5,17615.0,3207.0,1339.0
2013,,Obayashi,Construction,Japan,15049.0,62.1,19186.0,3557.0,1316.0
2014,,Obayashi,Construction,Japan,16019.0,123.0,17754.0,4174.0,1327.0
2015,,Obayashi,Construction,Japan,16525.0,303.0,16508.0,4672.0,1308.0
2016,,Obayashi,Construction,Japan,14946.0,454.9,16911.0,7176.0,934.0
2017,,Obayashi,Construction,Japan,16695.0,766.9,17295.0,6744.0,886.0
2018,,Obayashi,Construction,Japan,17036.0,889.1,19394.0,8230.0,885.0
2019,,Obayashi,Construction,Japan,18221.0,870.0,20214.0,6914.0,916.0
2020,,Obayashi,Construction,Japan,18857.0,1153.5,20840.0,6389.0,799.0
2021,,Obayashi,Construction,Japan,17342.0,866.3,21544.0,6886.0,904
2022,1391,Obayashi,Construction,Japan,16984.0,600.6,20831.0,5089.0,
