Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,500.0,Omnicom Group,Media,United States,12690.0,980,19270.0,14320.0,
2009,479.0,Omnicom Group,Media,United States,13360.0,1000,17320.0,7470.0,
2010,465.0,Omnicom Group,Media,United States,11720.0,790,17920.0,11700.0,
2011,527.0,Omnicom Group,Media,United States,12542.0,827.7,19566.0,14048.0,
2012,,Omnicom Group,Media,United States,13872.0,952.6,20505.0,13643.0,537.0
2013,,Omnicom Group,Media,United States,14219.0,998.3,22152.0,15697.0,512.0
2014,,Omnicom Group,Media,United States,14584.0,966.0,22099.0,18684.0,525.0
2015,,Omnicom Group,Media,United States,15318.0,1083.6,21560.0,19496.0,539.0
2016,,Omnicom Group,Media,United States,15164.0,1091.9,22111.0,20009.0,491.0
2017,,Omnicom Group,Media,United States,15480.0,1142.3,23165.0,20104.0,506.0
2018,,Omnicom Group,Media,United States,15316.0,1109.6,23513.0,17065.0,624.0
2019,,Omnicom Group,Media,United States,15130.0,1325.0,25211.0,18120.0,582.0
2020,,Omnicom Group,Media,United States,14892.0,1334.0,23676.0,12221.0,626.0
2021,,Omnicom Group,Media,United States,13171.0,945.3,27647.0,17129.0,635
2022,757,Omnicom Group,Media,United States,14273.0,1293.8,26146.0,16351.0,
