Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1952.0,Oriental Bank of Commerce,Banking,India,1320.0,130,17050.0,1570.0,
2009,1869.0,Oriental Bank of Commerce,Banking,India,1860.0,90,22580.0,560.0,
2010,1670.0,Oriental Bank of Commerce,Banking,India,1930.0,180,22190.0,1490.0,
2011,1613.0,Oriental Bank of Commerce,Banking,India,2556.0,253.1,30612.0,1955.0,
2012,,Oriental Bank of Commerce,Banking,India,2929.0,337.4,36171.0,1622.0,1502.0
2013,,Oriental Bank of Commerce,Banking,India,3352.0,224.4,34959.0,1490.0,1827.0
2014,,Oriental Bank of Commerce,Banking,India,3464.0,244.0,32205.0,1098.0,1875.0
2015,,Oriental Bank of Commerce,Banking,India,3608.0,161.5,34130.0,1001.0,1858.0
2016,,Oriental Bank of Commerce,Banking,India,3442.0,-6.8,34637.0,476.0,1863.0
2017,,Oriental Bank of Commerce,Banking,India,3206.0,21.7,34902.0,769.0,1859.0
2018,,Oriental Bank of Commerce,Banking,India,3150.0,-835.4,36987.0,777.0,1880.0
2019,,Oriental Bank of Commerce,Banking,India,2851.0,-280.5,35874.0,2082.0,1919.0
