Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,370.0,Orix,Diversified Financials,Japan,9090.0,1670,69610.0,14110.0,
2009,612.0,Orix,Diversified Financials,Japan,10750.0,1700,90060.0,1850.0,
2010,592.0,Orix,Diversified Financials,Japan,10240.0,230,84070.0,8030.0,
2011,566.0,Orix,Diversified Financials,Japan,9481.0,404.0,81938.0,11650.0,
2012,,Orix,Diversified Financials,Japan,11670.0,809.3,102444.0,10849.0,469.0
2013,,Orix,Diversified Financials,Japan,11752.0,1040.7,101210.0,13524.0,416.0
2014,,Orix,Diversified Financials,Japan,12003.0,1381.0,82523.0,18447.0,388.0
2015,,Orix,Diversified Financials,Japan,6465.0,2411.3,94912.0,19202.0,471.0
2016,,Orix,Diversified Financials,Japan,19962.0,2188.1,91979.0,19837.0,265.0
2017,,Orix,Diversified Financials,Japan,22848.0,2410.5,95533.0,19750.0,256.0
2018,,Orix,Diversified Financials,Japan,25830.0,2825.3,107438.0,23102.0,254.0
2019,,Orix,Business Services & Supplies,Japan,22251.0,2653.0,110484.0,18307.0,315.0
2020,,Orix,Business Services & Supplies,Japan,21281.0,3044.3,118178.0,15363.0,292.0
2021,,Orix,Business Services & Supplies,Japan,21236.0,1876.9,129057.0,19982.0,274
2022,345,Orix,Business Services & Supplies,Japan,22727.0,2381.9,122367.0,21710.0,
