Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,467.0,Oversea-Chinese Banking,Banking,Singapore,5080.0,1440,121390.0,17180.0,
2009,466.0,Oversea-Chinese Banking,Banking,Singapore,4770.0,1210,125830.0,9060.0,
2010,391.0,Oversea-Chinese Banking,Banking,Singapore,4500.0,1400,138350.0,19590.0,
2011,403.0,Oversea-Chinese Banking,Banking,Singapore,5207.0,1756.0,178919.0,24402.0,
2012,,Oversea-Chinese Banking,Banking,Singapore,5833.0,1782.6,214178.0,24584.0,399.0
2013,,Oversea-Chinese Banking,Banking,Singapore,8318.0,3270.0,242243.0,28971.0,298.0
2014,,Oversea-Chinese Banking,Banking,Singapore,11069.0,2210.9,268057.0,26064.0,298.0
2015,,Oversea-Chinese Banking,Banking,Singapore,8849.0,3033.2,302866.0,31228.0,302.0
2016,,Oversea-Chinese Banking,Banking,Singapore,8746.0,2838.0,275116.0,28583.0,286.0
2017,,Oversea-Chinese Banking,Banking,Singapore,8554.0,2515.5,283716.0,28845.0,301.0
2018,,Oversea-Chinese Banking,Banking,Singapore,10078.0,3159.0,351232.0,41166.0,284.0
2019,,Oversea-Chinese Banking,Banking,Singapore,11018.3,3329.0,343128.0,36893.0,286.0
2020,,Oversea-Chinese Banking,Banking,Singapore,24869.0,3568.7,365664.0,28262.0,167.0
2021,,Oversea-Chinese Banking,Banking,Singapore,24479.0,2599.7,394503.0,40087.0,164
2022,218,Oversea-Chinese Banking,Banking,Singapore,22891.0,3615.0,402171.0,39713.0,
