Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2011,1857.0,Penske Automotive,Retailing,United States,10714.0,108.3,4070.0,1919.0,
2012,,Penske Automotive,Retailing,United States,11556.0,176.9,4502.0,2216.0,1932.0
2013,,Penske Automotive,Retailing,United States,13164.0,185.5,5379.0,3027.0,1899.0
2014,,Penske Automotive,Retailing,United States,14701.0,244.2,6416.0,3897.0,1829.0
2015,,Penske Automotive,Retailing,United States,17283.0,286.7,7228.0,4818.0,1684.0
2016,,Penske Automotive,Retailing,United States,19257.0,326.1,8023.0,3105.0,1483.0
2017,,Penske Automotive,Retailing,United States,20118.0,342.9,8861.0,3780.0,1453.0
2018,,Penske Automotive,Retailing,United States,22053.0,638.8,10843.0,4002.0,1242.0
2019,,Penske Automotive,Retailing,United States,22785.0,471.0,11022.0,3861.0,1404.0
2020,,Penske Automotive,Retailing,United States,23169.0,435.8,14625.0,2910.0,1301.0
2021,,Penske Automotive,Retailing,United States,20444.0,543.6,13979.0,7032.0,1207
2022,1158,Penske Automotive,Retailing,United States,25555.0,1187.8,14163.0,7436.0,
