Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1657.0,People's United Financial,Banking,United States,890.0,150,13550.0,5700.0,
2009,1232.0,People's United Financial,Banking,United States,1220.0,140,20170.0,6060.0,
2010,1499.0,People's United Financial,Banking,United States,1080.0,100,21260.0,5420.0,
2011,1777.0,People's United Financial,Banking,United States,1128.0,85.7,25037.0,4513.0,
2012,,People's United Financial,Banking,United States,1360.0,198.8,27568.0,4777.0,1712.0
2013,,People's United Financial,Banking,United States,1349.0,245.3,30324.0,4589.0,1766.0
2014,,People's United Financial,Banking,United States,1320.0,231.1,33460.0,4629.0,1864.0
2015,,People's United Financial,Banking,United States,1320.0,250.9,36263.0,4666.0,1834.0
2016,,People's United Financial,Banking,United States,1407.0,263.0,39181.0,5000.0,1743.0
2017,,People's United Financial,Banking,United States,1456.0,280.1,40908.0,6128.0,1619.0
2019,,People's United Financial,Banking,United States,1908.0,468.0,47877.0,6806.0,1430.0
2020,,People's United Financial,Banking,United States,2359.0,536.1,60433.0,5389.0,1338.0
