Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,450.0,Pernod Ricard,"Food, Drink & Tobacco",France,8720.0,1120,25210.0,23430.0,
2009,372.0,Pernod Ricard,"Food, Drink & Tobacco",France,10380.0,1320,27900.0,12070.0,
2010,319.0,Pernod Ricard,"Food, Drink & Tobacco",France,10100.0,1330,33330.0,20400.0,
2011,439.0,Pernod Ricard,"Food, Drink & Tobacco",France,8667.0,1164.0,31602.0,23908.0,
2012,,Pernod Ricard,"Food, Drink & Tobacco",France,11093.0,1516.7,35144.0,27762.0,378.0
2013,,Pernod Ricard,"Food, Drink & Tobacco",France,10399.0,1450.6,33516.0,34483.0,390.0
2014,,Pernod Ricard,"Food, Drink & Tobacco",France,10937.0,1553.3,38330.0,30640.0,398.0
2015,,Pernod Ricard,"Food, Drink & Tobacco",France,10606.0,1294.6,36335.0,32463.0,439.0
2016,,Pernod Ricard,"Food, Drink & Tobacco",France,9864.0,1063.5,33995.0,28667.0,454.0
2017,,Pernod Ricard,"Food, Drink & Tobacco",France,9718.0,1397.1,33490.0,31356.0,443.0
2018,,Pernod Ricard,"Food, Drink & Tobacco",France,10186.0,1834.0,35780.0,43629.0,458.0
2019,,Pernod Ricard,"Food, Drink & Tobacco",France,10724.0,1713.0,35185.0,45945.0,455.0
2020,,Pernod Ricard,"Food, Drink & Tobacco",France,10600.0,1639.7,36767.0,40041.0,451.0
2021,,Pernod Ricard,"Food, Drink & Tobacco",France,9073.0,299.8,38875.0,53384.0,763
2022,489,Pernod Ricard,"Food, Drink & Tobacco",France,11581.0,2043.6,38744.0,54163.0,
