Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2011,307.0,Peugeot,Consumer Durables,France,75048.0,1518.1,91238.0,8741.0,
2012,,Peugeot,Consumer Durables,France,77606.0,761.7,87702.0,6134.0,458.0
2013,,Peugeot,Consumer Durables,France,73148.0,-6609.5,84740.0,3029.0,876.0
2014,,Peugeot,Consumer Durables,France,71811.0,-3076.1,82214.0,6646.0,775.0
2015,,Peugeot,Consumer Durables,France,71107.0,-936.5,74263.0,13694.0,635.0
2016,,Peugeot,Consumer Durables,France,60631.0,996.9,53797.0,12413.0,353.0
2017,,Peugeot,Consumer Durables,France,59768.0,1913.7,48234.0,16860.0,289.0
2018,,Peugeot,Consumer Durables,France,73553.0,2175.8,69793.0,21430.0,259.0
2019,,Peugeot,Consumer Durables,France,87333.0,3335.0,70820.0,24945.0,218.0
2020,,Peugeot,Consumer Durables,France,83643.0,3582.7,78312.0,12816.0,264.0
