Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1618.0,Pinnacle West,Utilities,United States,3520.0,310,11240.0,3570.0,
2009,1563.0,Pinnacle West,Utilities,United States,3370.0,240,11620.0,2650.0,
2011,1643.0,Pinnacle West,Utilities,United States,3264.0,350.0,12363.0,4738.0,
2012,,Pinnacle West,Utilities,United States,3241.0,339.5,13111.0,5137.0,1703.0
2013,,Pinnacle West,Utilities,United States,3302.0,382.0,13380.0,6254.0,1565.0
2014,,Pinnacle West,Utilities,United States,3454.0,406.1,13509.0,5981.0,1709.0
2015,,Pinnacle West,Utilities,United States,3491.0,397.6,14314.0,7134.0,1748.0
2016,,Pinnacle West,Utilities,United States,3495.0,437.3,15028.0,7942.0,1457.0
2017,,Pinnacle West,Utilities,United States,3498.0,442.0,16004.0,9400.0,1415.0
2018,,Pinnacle West,Utilities,United States,3582.0,468.4,17148.0,8744.0,1679.0
2019,,Pinnacle West,Utilities,United States,3665.0,511.0,17664.0,10562.0,1469.0
2020,,Pinnacle West,Utilities,United States,3471.0,538.3,18479.0,8661.0,1493.0
2021,,Pinnacle West,Utilities,United States,3587.0,550.6,20020.0,9572.0,1656
