Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,282.0,Power Corp of Canada,Diversified Financials,Canada,26030.0,1200,113640.0,15940.0,
2009,305.0,Power Corp of Canada,Diversified Financials,Canada,30050.0,700,116380.0,6540.0,
2010,247.0,Power Corp of Canada,Diversified Financials,Canada,31620.0,650,136410.0,12960.0,
2011,293.0,Power Corp of Canada,Diversified Financials,Canada,33106.0,912.8,146999.0,13064.0,
2012,,Power Corp of Canada,Insurance,Canada,32322.0,1096.0,250917.0,12637.0,291.0
2013,,Power Corp of Canada,Insurance,Canada,34247.0,1129.0,272818.0,12390.0,299.0
2014,,Power Corp of Canada,Insurance,Canada,31654.0,998.7,319939.0,12661.0,333.0
2015,,Power Corp of Canada,Insurance,Canada,38611.0,1201.5,321718.0,12372.0,319.0
2016,,Power Corp of Canada,Insurance,Canada,31494.0,1436.6,300718.0,11345.0,302.0
2017,,Power Corp of Canada,Insurance,Canada,35423.0,855.9,311156.0,10812.0,358.0
2019,,Power Corp of Canada,Diversified Financials,Canada,39951.0,1033.0,326678.0,11364.0,397.0
2020,,Power Corp of Canada,Diversified Financials,Canada,31543.0,874.2,352067.0,11522.0,377.0
2021,,Power Corp of Canada,Diversified Financials,Canada,43856.0,1525.4,476439.0,18675.0,240
2022,251,Power Corp of Canada,Diversified Financials,Canada,57927.0,2368.1,507062.0,20470.0,
