Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1011.0,Quest Diagnostics,Health Care Equipment & Services,United States,6700.0,340,8570.0,9260.0,
2009,777.0,Quest Diagnostics,Health Care Equipment & Services,United States,7250.0,580,8400.0,8730.0,
2010,731.0,Quest Diagnostics,Health Care Equipment & Services,United States,7460.0,730,8560.0,10170.0,
2011,891.0,Quest Diagnostics,Health Care Equipment & Services,United States,7369.0,720.9,8528.0,9823.0,
2012,,Quest Diagnostics,Health Care Equipment & Services,United States,7510.0,470.6,9313.0,9470.0,1066.0
2013,,Quest Diagnostics,Health Care Equipment & Services,United States,7383.0,555.7,9284.0,8895.0,1090.0
2014,,Quest Diagnostics,Health Care Equipment & Services,United States,7146.0,846.0,8948.0,8656.0,1089.0
2015,,Quest Diagnostics,Health Care Equipment & Services,United States,7435.0,554.0,9877.0,10985.0,1169.0
2016,,Quest Diagnostics,Health Care Equipment & Services,United States,7517.0,747.0,10097.0,10684.0,1008.0
2017,,Quest Diagnostics,Health Care Equipment & Services,United States,7515.0,641.0,10100.0,13419.0,1061.0
2018,,Quest Diagnostics,Health Care Equipment & Services,United States,7694.0,782.0,10695.0,13921.0,1110.0
2019,,Quest Diagnostics,Health Care Equipment & Services,United States,7531.0,733.0,11003.0,11540.0,1235.0
2020,,Quest Diagnostics,Health Care Equipment & Services,United States,7657.0,791.0,12049.0,14722.0,1057.0
2021,,Quest Diagnostics,Health Care Equipment & Services,United States,9437.0,1425.0,14026.0,17074.0,843
2022,968,Quest Diagnostics,Health Care Equipment & Services,United States,10679.0,1874.0,13442.0,16159.0,
