Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,646.0,RTL Group,Media,Luxembourg,7440.0,1170,11400.0,18560.0,
2009,681.0,RTL Group,Media,Luxembourg,8330.0,820,12800.0,5370.0,
2010,788.0,RTL Group,Media,Luxembourg,8010.0,270,11730.0,11090.0,
2011,685.0,RTL Group,Media,Luxembourg,7417.0,810.6,11838.0,16024.0,
2012,,RTL Group,Media,Luxembourg,8027.0,969.1,10158.0,14881.0,766.0
2013,,RTL Group,Media,Luxembourg,7713.0,767.7,10409.0,11457.0,892.0
2014,,RTL Group,Media,Luxembourg,7818.0,1155.0,10427.0,17656.0,805.0
2018,,RTL Group,Media,Luxembourg,7188.0,833.5,9604.0,13024.0,1145.0
2019,,RTL Group,Media,Luxembourg,7674.0,788.0,9516.0,8990.0,1329.0
2020,,RTL Group,Media,Luxembourg,7674.0,788.1,9629.0,5120.0,1599.0
2021,,RTL Group,Media,Luxembourg,6859.0,560.9,11352.0,9191.0,1696
2022,1408,RTL Group,Media,Luxembourg,7845.0,1537.8,12170.0,8854.0,
