Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1441.0,Rakuten,Business Services & Supplies,Japan,1910.0,330,10190.0,6320.0,
2009,1376.0,Rakuten,Business Services & Supplies,Japan,2750.0,-610,11820.0,6770.0,
2010,832.0,Rakuten,Business Services & Supplies,Japan,3210.0,580,18620.0,10040.0,
2011,855.0,Rakuten,Retailing,Japan,4264.0,430.7,23723.0,12510.0,
2012,,Rakuten,Retailing,Japan,4935.0,-14.8,24549.0,13491.0,1108.0
2013,,Rakuten,Retailing,Japan,5559.0,243.4,24341.0,13060.0,1097.0
2014,,Rakuten,Retailing,Japan,5312.0,439.4,30539.0,17650.0,854.0
2015,,Rakuten,Retailing,Japan,5655.0,667.1,30699.0,24707.0,736.0
2016,,Rakuten,Retailing,Japan,5894.0,367.0,35496.0,17000.0,853.0
2017,,Rakuten,Retailing,Japan,7196.0,349.7,39479.0,15207.0,855.0
2018,,Rakuten,Retailing,Japan,8790.0,928.8,61130.0,9587.0,777.0
2019,,Rakuten,Business Services & Supplies,Japan,9973.0,1288.0,66946.0,14452.0,565.0
2020,,Rakuten,Business Services & Supplies,Japan,11595.0,-292.5,84340.0,11618.0,831.0
2021,,Rakuten,Business Services & Supplies,Japan,13633.0,-1069.6,121308.0,17016.0,753
2022,865,Rakuten,Business Services & Supplies,Japan,15306.0,-1218.0,146161.0,11452.0,
