Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2009,1374.0,Reinsurance Group of America,Insurance,United States,5680.0,180,21660.0,1980.0,
2010,883.0,Reinsurance Group of America,Insurance,United States,7070.0,410,25250.0,3530.0,
2011,886.0,Reinsurance Group of America,Insurance,United States,8262.0,574.4,29082.0,4418.0,
2012,,Reinsurance Group of America,Insurance,United States,8830.0,599.6,32104.0,4285.0,927.0
2013,,Reinsurance Group of America,Insurance,United States,9841.0,631.9,40360.0,4476.0,861.0
2014,,Reinsurance Group of America,Insurance,United States,10297.0,418.8,39674.0,5641.0,959.0
2015,,Reinsurance Group of America,Insurance,United States,10763.0,684.0,44680.0,6434.0,809.0
2016,,Reinsurance Group of America,Insurance,United States,10579.0,502.2,50383.0,6219.0,822.0
2017,,Reinsurance Group of America,Insurance,United States,11522.0,701.4,53098.0,8079.0,694.0
2018,,Reinsurance Group of America,Insurance,United States,12699.0,1776.9,60955.0,9785.0,590.0
2019,,Reinsurance Group of America,Insurance,United States,12911.0,716.0,64535.0,9482.0,715.0
2020,,Reinsurance Group of America,Insurance,United States,14314.0,870.0,76731.0,6452.0,676.0
2021,,Reinsurance Group of America,Insurance,United States,14595.0,415.0,83673.0,8979.0,825
2022,967,Reinsurance Group of America,Insurance,United States,16651.0,617.0,89595.0,7591.0,
