Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,128.0,Renault,Consumer Durables,France,54790.0,3780,90410.0,30800.0,
2009,350.0,Renault,Consumer Durables,France,52600.0,790,88490.0,4040.0,
2010,530.0,Renault,Consumer Durables,France,47010.0,-4360,91690.0,11270.0,
2011,162.0,Renault,Consumer Durables,France,52169.0,4578.3,93106.0,16678.0,
2012,,Renault,Consumer Durables,France,55218.0,2709.9,93106.0,16355.0,187.0
2013,,Renault,Consumer Durables,France,54446.0,2337.7,98877.0,20292.0,175.0
2014,,Renault,Consumer Durables,France,54342.0,778.0,103335.0,28727.0,262.0
2015,,Renault,Consumer Durables,France,54457.0,2507.0,98681.0,27524.0,193.0
2016,,Renault,Consumer Durables,France,50264.0,3130.5,98424.0,29032.0,147.0
2017,,Renault,Consumer Durables,France,56685.0,3782.1,107693.0,24586.0,164.0
2018,,Renault,Consumer Durables,France,66289.0,5768.3,132020.0,30754.0,135.0
2019,,Renault,Consumer Durables,France,67740.0,3896.0,131458.0,20873.0,204.0
2020,,Renault,Consumer Durables,France,62160.0,-157.8,137137.0,5774.0,797.0
2021,,Renault,Consumer Durables,France,49559.0,-9128.9,141610.0,12603.0,691
2022,645,Renault,Consumer Durables,France,54623.0,1049.6,129345.0,7281.0,
