Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1145.0,Rockwell Collins,Aerospace & Defense,United States,4530.0,600,3850.0,9570.0,
2009,1081.0,Rockwell Collins,Aerospace & Defense,United States,4720.0,680,4190.0,4930.0,
2010,1048.0,Rockwell Collins,Aerospace & Defense,United States,4440.0,560,4650.0,9180.0,
2011,1166.0,Rockwell Collins,Aerospace & Defense,United States,4748.0,591.0,4904.0,9858.0,
2012,,Rockwell Collins,Aerospace & Defense,United States,4796.0,613.0,5168.0,8594.0,1319.0
2013,,Rockwell Collins,Aerospace & Defense,United States,4694.0,611.0,5313.0,8660.0,1367.0
2014,,Rockwell Collins,Aerospace & Defense,United States,4619.0,631.0,7093.0,10877.0,1341.0
2015,,Rockwell Collins,Aerospace & Defense,United States,5164.0,640.0,7140.0,12762.0,1292.0
2016,,Rockwell Collins,Aerospace & Defense,United States,5157.0,668.0,7541.0,11719.0,1208.0
2017,,Rockwell Collins,Aerospace & Defense,United States,5283.0,738.0,7709.0,12939.0,1178.0
2018,,Rockwell Collins,Aerospace & Defense,United States,8478.0,909.0,18300.0,22056.0,804.0
