Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,574.0,Rogers Communications,Telecommunications Services,Canada,10200.0,640,15450.0,25370.0,
2009,518.0,Rogers Communications,Telecommunications Services,Canada,9180.0,810,13850.0,14990.0,
2010,396.0,Rogers Communications,Telecommunications Services,Canada,11190.0,1410,16230.0,20010.0,
2011,455.0,Rogers Communications,Telecommunications services,Canada,12264.0,1537.8,17441.0,19305.0,
2012,,Rogers Communications,Telecommunications services,Canada,12205.0,1535.0,18033.0,20447.0,473.0
2013,,Rogers Communications,Telecommunications services,Canada,12540.0,1707.3,19703.0,25268.0,448.0
2014,,Rogers Communications,Telecommunications services,Canada,12331.0,1619.8,22213.0,21587.0,479.0
2015,,Rogers Communications,Telecommunications services,Canada,11635.0,1214.2,22898.0,17852.0,569.0
2016,,Rogers Communications,Telecommunications services,Canada,10278.0,1047.3,22268.0,19847.0,565.0
2017,,Rogers Communications,Telecommunications services,Canada,10342.0,643.8,21134.0,22947.0,668.0
2018,,Rogers Communications,Telecommunications services,Canada,11249.0,1435.2,23406.0,24763.0,589.0
2019,,Rogers Communications,Telecommunications Services,Canada,11647.0,1589.0,23369.0,26593.0,566.0
2020,,Rogers Communications,Telecommunications Services,Canada,11198.0,1505.9,28156.0,21194.0,549.0
2021,,Rogers Communications,Telecommunications Services,Canada,10375.0,1186.9,30498.0,24475.0,581
2022,598,Rogers Communications,Telecommunications Services,Canada,11792.0,1267.3,44073.0,29236.0,
