Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2009,1349.0,RusHydro,Utilities,Russia,1940.0,270,11320.0,4190.0,
2010,1258.0,RusHydro,Utilities,Russia,3530.0,-650,13960.0,11620.0,
2011,786.0,RusHydro,Utilities,Russia,3814.0,1011.7,15942.0,14412.0,
2012,,RusHydro,Utilities,Russia,13669.0,342.9,21326.0,11372.0,767.0
2013,,RusHydro,Utilities,Russia,11259.0,975.3,25271.0,6867.0,706.0
2014,,RusHydro,Utilities,Russia,9815.0,620.3,27913.0,6133.0,882.0
2015,,RusHydro,Utilities,Russia,8728.0,678.1,15172.0,3732.0,1202.0
2016,,RusHydro,Utilities,Russia,5669.0,514.5,13110.0,4011.0,1504.0
2017,,RusHydro,Utilities,Russia,5584.0,600.1,16252.0,6012.0,1337.0
2018,,RusHydro,Utilities,Russia,5968.0,411.7,18003.0,5102.0,1777.0
2019,,RusHydro,Utilities,Russia,5734.0,497.0,13555.0,3493.0,1957.0
2021,,RusHydro,Utilities,Russia,5291.0,640.6,12854.0,4763.0,1965
