Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1179.0,SAIC Motor,Consumer Durables,China,3830.0,180,11070.0,17370.0,
2009,574.0,SAIC Motor,Consumer Durables,China,14290.0,630,13910.0,7030.0,
2010,734.0,SAIC Motor,Consumer Durables,China,15440.0,100,15770.0,21110.0,
2011,407.0,SAIC Motor,Consumer Durables,China,20262.0,965.6,20041.0,25937.0,
2012,,SAIC Motor,Consumer Durables,China,46345.0,2082.9,33775.0,26420.0,232.0
2013,,SAIC Motor,Consumer Durables,China,74966.0,3289.0,48149.0,26706.0,167.0
2014,,SAIC Motor,Consumer Durables,China,88290.0,4034.6,56427.0,24673.0,175.0
2015,,SAIC Motor,Consumer Durables,China,99519.0,4427.1,62135.0,47119.0,130.0
2016,,SAIC Motor,Consumer Durables,China,101922.0,4616.5,78790.0,34437.0,120.0
2017,,SAIC Motor,Consumer Durables,China,112725.0,4818.0,84989.0,43491.0,108.0
2018,,SAIC Motor,Consumer Durables,China,136567.0,5410.2,118434.0,63835.0,80.0
2019,,SAIC Motor,Consumer Durables,China,135217.0,5442.0,114012.0,51474.0,100.0
2020,,SAIC Motor,Consumer Durables,China,121090.0,3705.3,121934.0,31312.0,131.0
2021,,SAIC Motor,Consumer Durables,China,106686.0,2960.1,140592.0,36369.0,139
2022,204,SAIC Motor,Consumer Durables,China,121422.0,3708.0,133965.0,28870.0,
