Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,788.0,SLM,Diversified Financials,United States,9170.0,-900,155560.0,9150.0,
2009,1008.0,SLM,Diversified Financials,United States,7690.0,-210,168770.0,2150.0,
2010,693.0,SLM,Diversified Financials,United States,6140.0,320,169990.0,5310.0,
2011,636.0,SLM,Diversified Financials,United States,6776.0,530.4,205307.0,7872.0,
2012,,SLM,Diversified Financials,United States,5756.0,633.0,193345.0,8287.0,682.0
2013,,SLM,Diversified Financials,United States,6111.0,939.0,181260.0,9030.0,611.0
2014,,SLM,Diversified Financials,United States,5822.0,1419.0,159543.0,10567.0,592.0
2019,,SLM,Business Services & Supplies,United States,2010.0,519.0,27614.0,4324.0,1645.0
2020,,SLM,Business Services & Supplies,United States,2634.0,782.3,31761.0,3128.0,1379.0
2021,,SLM,Business Services & Supplies,United States,2286.0,880.7,30770.0,7008.0,1353
2022,1480,SLM,Business Services & Supplies,United States,2341.0,1160.5,29222.0,4674.0,
