Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1418.0,SMC,Capital Goods,Japan,2890.0,540,5820.0,7520.0,
2009,1116.0,SMC,Capital Goods,Japan,3590.0,560,6750.0,6630.0,
2010,1441.0,SMC,Capital Goods,Japan,2910.0,270,6050.0,9020.0,
2011,1891.0,SMC,Capital Goods,Japan,2364.0,209.6,6717.0,11426.0,
2012,,SMC,Capital Goods,Japan,3911.0,574.5,8507.0,11800.0,1282.0
2016,,SMC,Capital Goods,Japan,3948.0,855.3,9557.0,17322.0,1137.0
2017,,SMC,Capital Goods,Japan,4301.0,938.0,10199.0,19124.0,1084.0
2018,,SMC,Capital Goods,Japan,5134.0,1236.8,12053.0,26452.0,986.0
2019,,SMC,Capital Goods,Japan,5398.0,1191.0,12381.0,27516.0,986.0
2020,,SMC,Capital Goods,Japan,4850.0,959.8,12982.0,30480.0,1034.0
2021,,SMC,Capital Goods,Japan,4889.0,986.5,14187.0,40252.0,956
2022,972,SMC,Capital Goods,Japan,6396.0,1668.5,14766.0,33906.0,
