Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2010,1707.0,SM Investments,Retailing,Philippines,2550.0,300,6120.0,4830.0,
2011,1428.0,SM Investments,Retailing,Philippines,3980.0,408.5,7985.0,7129.0,
2012,,SM Investments,Retailing,Philippines,3788.0,484.1,10224.0,9022.0,1343.0
2013,,SM Investments,Retailing,Philippines,5307.0,585.5,13643.0,16579.0,915.0
2014,,SM Investments,Retailing,Philippines,5777.0,646.2,14262.0,12756.0,963.0
2015,,SM Investments,Retailing,Philippines,5912.0,639.8,15914.0,16655.0,911.0
2016,,SM Investments,Retailing,Philippines,6185.0,624.9,16387.0,16446.0,864.0
2017,,SM Investments,Retailing,Philippines,7324.0,649.7,17329.0,17750.0,823.0
2018,,SM Investments,Retailing,Philippines,7750.0,664.3,18631.0,21183.0,883.0
2019,,SM Investments,Retailing,Philippines,8538.0,,18951.0,21639.0,1092.0
2020,,SM Investments,Retailing,Philippines,9185.0,860.7,22592.0,20189.0,707.0
2021,,SM Investments,Retailing,Philippines,7604.0,471.6,25498.0,24348.0,877
2022,1008,SM Investments,Retailing,Philippines,8141.0,781.0,26309.0,20007.0,
