Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1700.0,Samsung SDI,Technology Hardware & Equipment,South Korea,7180.0,100,7410.0,3220.0,
2011,1633.0,Samsung SDI,Consumer Durables,South Korea,4434.0,308.1,7049.0,6378.0,
2013,,Samsung SDI,Consumer Durables,South Korea,5126.0,1307.0,10242.0,5506.0,1197.0
2015,,Samsung SDI,Consumer Durables,South Korea,5687.0,-79.7,14528.0,8357.0,1635.0
2016,,Samsung SDI,Consumer Durables,South Korea,6688.0,47.6,13838.0,6820.0,1588.0
2017,,Samsung SDI,Consumer Durables,South Korea,4483.0,-646.7,12337.0,8513.0,1969.0
2018,,Samsung SDI,Consumer Durables,South Korea,6233.0,631.6,15333.0,11944.0,1169.0
2019,,Samsung SDI,Technology Hardware & Equipment,South Korea,8322.0,637.0,17342.0,13380.0,1000.0
2020,,Samsung SDI,Technology Hardware & Equipment,South Korea,8614.0,259.6,17166.0,15697.0,1210.0
2021,,Samsung SDI,Technology Hardware & Equipment,South Korea,9573.0,487.1,19823.0,41573.0,773
2022,770,Samsung SDI,Technology Hardware & Equipment,South Korea,11835.0,1021.5,21731.0,32163.0,
