Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1664.0,San-In Godo Bank,Banking,Japan,900.0,100,31010.0,1400.0,
2009,1651.0,San-In Godo Bank,Banking,Japan,1130.0,80,36780.0,1230.0,
2010,1689.0,San-In Godo Bank,Banking,Japan,1190.0,80,38020.0,1360.0,
2011,1699.0,San-In Godo Bank,Banking,Japan,989.0,92.5,41606.0,1219.0,
2012,,San-In Godo Bank,Banking,Japan,1154.0,106.2,48091.0,1297.0,1677.0
2013,,San-In Godo Bank,Banking,Japan,1077.0,124.8,50129.0,1405.0,1711.0
2014,,San-In Godo Bank,Banking,Japan,888.0,115.1,41280.0,1074.0,1784.0
2015,,San-In Godo Bank,Banking,Japan,828.0,113.8,38139.0,1318.0,1803.0
2016,,San-In Godo Bank,Banking,Japan,726.0,101.4,40390.0,1084.0,1790.0
2017,,San-In Godo Bank,Banking,Japan,830.0,140.0,50833.0,1208.0,1712.0
2018,,San-In Godo Bank,Banking,Japan,808.0,112.4,49341.0,1510.0,1764.0
2019,,San-In Godo Bank,Banking,Japan,833.0,104.0,52176.0,1055.0,1751.0
2020,,San-In Godo Bank,Banking,Japan,798.0,115.9,55283.0,826.0,1793.0
2021,,San-In Godo Bank,Banking,Japan,800.0,84.2,60838.0,765.0,1872
2022,1850,San-In Godo Bank,Banking,Japan,806.0,132.9,60810.0,793.0,
