Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1496.0,Santos,Oil & Gas Operations,Australia,2160.0,420,6350.0,7070.0,
2009,1070.0,Santos,Oil & Gas Operations,Australia,1900.0,1140,6760.0,5780.0,
2010,1066.0,Santos,Oil & Gas Operations,Australia,1960.0,390,10150.0,9820.0,
2011,1027.0,Santos,Oil & Gas Operations,Australia,2276.0,510.7,14059.0,12485.0,
2012,,Santos,Oil & Gas Operations,Australia,2587.0,769.9,16067.0,14455.0,931.0
2013,,Santos,Oil & Gas Operations,Australia,3429.0,539.5,17662.0,13145.0,1014.0
2014,,Santos,Oil & Gas Operations,Australia,3521.0,497.6,18438.0,12097.0,1111.0
2019,,Santos,Oil & Gas Operations,Australia,3764.0,643.0,17336.0,10749.0,1348.0
2020,,Santos,Oil & Gas Operations,Australia,4109.0,672.3,18245.0,6721.0,1538.0
2022,1231,Santos,Oil & Gas Operations,Australia,4815.0,656.3,31116.0,19971.0,
