Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2009,1878.0,Sany Heavy Industry,Capital Goods,China,1250.0,220,1510.0,4460.0,
2010,1856.0,Sany Heavy Industry,Capital Goods,China,2020.0,180,2020.0,7220.0,
2011,1445.0,Sany Heavy Industry,Capital Goods,China,2415.0,287.5,2283.0,19751.0,
2012,,Sany Heavy Industry,Capital Goods,China,5150.0,852.0,4733.0,16742.0,997.0
2013,,Sany Heavy Industry,Capital Goods,China,8065.0,1374.1,8123.0,12955.0,851.0
2014,,Sany Heavy Industry,Capital Goods,China,5790.0,450.8,11074.0,6933.0,1396.0
2015,,Sany Heavy Industry,Capital Goods,China,5527.0,247.0,10908.0,12546.0,1568.0
2018,,Sany Heavy Industry,Capital Goods,China,6161.0,429.5,10143.0,10301.0,1671.0
2019,,Sany Heavy Industry,Capital Goods,China,8387.0,924.0,10928.0,16370.0,1017.0
2020,,Sany Heavy Industry,Capital Goods,China,10897.0,1621.8,12998.0,23318.0,703.0
2021,,Sany Heavy Industry,Capital Goods,China,14386.0,2217.1,19306.0,41152.0,468
2022,623,Sany Heavy Industry,Capital Goods,China,17586.0,2388.9,21139.0,21928.0,
