Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2009,1614.0,Saputo,"Food, Drink & Tobacco",Canada,4540.0,230,2880.0,3490.0,
2010,1236.0,Saputo,"Food, Drink & Tobacco",Canada,5620.0,340,3110.0,5940.0,
2011,1207.0,Saputo,"Food, Drink & Tobacco",Canada,5961.0,450.6,3461.0,8950.0,
2012,,Saputo,"Food, Drink & Tobacco",Canada,6610.0,475.2,3653.0,8569.0,1264.0
2013,,Saputo,"Food, Drink & Tobacco",Canada,6978.0,380.5,3706.0,9730.0,1296.0
2014,,Saputo,"Food, Drink & Tobacco",Canada,8541.0,499.5,5160.0,9849.0,1164.0
2015,,Saputo,"Food, Drink & Tobacco",Canada,9624.0,516.3,5718.0,11170.0,1154.0
2016,,Saputo,"Food, Drink & Tobacco",Canada,8419.0,481.4,5551.0,12528.0,1086.0
2017,,Saputo,"Food, Drink & Tobacco",Canada,8436.0,532.0,5704.0,13181.0,1095.0
2018,,Saputo,"Food, Drink & Tobacco",Canada,8874.0,683.2,6383.0,12965.0,1129.0
2019,,Saputo,"Food, Drink & Tobacco",Canada,10037.0,587.0,7359.0,13325.0,1158.0
2020,,Saputo,"Food, Drink & Tobacco",Canada,10899.0,466.0,10164.0,10297.0,1240.0
2021,,Saputo,"Food, Drink & Tobacco",Canada,10866.0,455.7,10495.0,13031.0,1275
2022,1866,Saputo,"Food, Drink & Tobacco",Canada,11578.0,271.3,10825.0,10044.0,
