Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,145.0,Saudi Basic Industries,Chemicals,Saudi Arabia,23020.0,5410,44420.0,124850.0,
2009,86.0,Saudi Basic Industries,Chemicals,Saudi Arabia,40620.0,5870,72390.0,31440.0,
2010,110.0,Saudi Basic Industries,Chemicals,Saudi Arabia,27490.0,2420,78980.0,71200.0,
2011,95.0,Saudi Basic Industries,Chemicals,Saudi Arabia,40526.0,5741.0,84288.0,81196.0,
2012,,Saudi Basic Industries,Chemicals,Saudi Arabia,50647.0,7790.1,88625.0,84390.0,88.0
2013,,Saudi Basic Industries,Chemicals,Saudi Arabia,50394.0,6606.0,90238.0,74796.0,94.0
2014,,Saudi Basic Industries,Chemicals,Saudi Arabia,50404.0,6740.3,90408.0,94403.0,98.0
2015,,Saudi Basic Industries,Chemicals,Saudi Arabia,50361.0,6247.4,90888.0,64004.0,116.0
2016,,Saudi Basic Industries,Chemicals,Saudi Arabia,39766.0,5007.6,87434.0,63468.0,113.0
2017,,Saudi Basic Industries,Chemicals,Saudi Arabia,35413.0,4756.1,84464.0,80696.0,117.0
2018,,Saudi Basic Industries,Chemicals,Saudi Arabia,41896.0,4978.5,90518.0,91839.0,120.0
2019,,Saudi Basic Industries,Chemicals,Saudi Arabia,45056.0,5744.0,85337.0,99999.0,122.0
2020,,Saudi Basic Industries,Chemicals,Saudi Arabia,37258.0,1483.3,83353.0,59840.0,212.0
2021,,Saudi Basic Industries,Chemicals,Saudi Arabia,31337.0,37.0,79966.0,93254.0,481
