Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,730.0,Saudi Electricity,Utilities,Saudi Arabia,5260.0,380,33920.0,17250.0,
2009,626.0,Saudi Electricity,Utilities,Saudi Arabia,5620.0,420,36400.0,10390.0,
2010,561.0,Saudi Electricity,Utilities,Saudi Arabia,6360.0,310,44280.0,13500.0,
2011,533.0,Saudi Electricity,Utilities,Saudi Arabia,7429.0,607.8,50896.0,14499.0,
2012,,Saudi Electricity,Utilities,Saudi Arabia,8151.0,592.3,56950.0,17220.0,543.0
2013,,Saudi Electricity,Utilities,Saudi Arabia,8970.0,682.8,63615.0,15277.0,529.0
2014,,Saudi Electricity,Utilities,Saudi Arabia,9512.0,809.5,73801.0,17498.0,491.0
2015,,Saudi Electricity,Utilities,Saudi Arabia,10262.0,962.7,84651.0,18794.0,474.0
2016,,Saudi Electricity,Utilities,Saudi Arabia,11050.0,401.9,95375.0,18787.0,570.0
2017,,Saudi Electricity,Utilities,Saudi Arabia,13275.0,561.1,107407.0,26597.0,431.0
2018,,Saudi Electricity,Utilities,Saudi Arabia,13496.0,1842.0,118860.0,23542.0,355.0
2019,,Saudi Electricity,Utilities,Saudi Arabia,17081.0,476.0,123839.0,18288.0,578.0
2020,,Saudi Electricity,Utilities,Saudi Arabia,17342.0,370.0,127910.0,18930.0,590.0
2021,,Saudi Electricity,Utilities,Saudi Arabia,18311.0,559.2,129398.0,27192.0,414
2022,329,Saudi Electricity,Utilities,Saudi Arabia,18486.0,2309.0,127389.0,29830.0,
